"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_10_1_noerr","Healthy_stool_10_10_noerr","Healthy_stool_10_100_noerr","Healthy_stool_10_50_noerr","Healthy_stool_100_1_noerr","Healthy_stool_100_10_noerr","Healthy_stool_100_100_noerr","Healthy_stool_100_50_noerr"
NA,"Cyanobacteriota","Cyanophyceae","Synechococcales","Synechococcaceae","f_Synechococcaceae","f_Synechococcaceae","Synechococcaceae",3345,NA,NA,NA,NA,NA,NA,NA,1
NA,"Cyanobacteriota","Cyanophyceae","Synechococcales","Synechococcaceae","Synechococcus","g_Synechococcus","Synechococcus",3346,1,2,NA,1,NA,NA,NA,2
NA,"Cyanobacteriota","Cyanophyceae","Synechococcales","Synechococcaceae","Synechococcus","Synechococcus elongatus","Synechococcus elongatus",3347,12,13,13,19,18,5,16,16
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Kyanoviridae","Nereusvirus","Nereusvirus tusconc4","Synechococcus phage ACG-2014b",3348,NA,NA,NA,NA,NA,2,1,NA
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Kyanoviridae","Atlauavirus","Atlauavirus tusconc8","Synechococcus phage ACG-2014f",3349,NA,2,3,2,NA,NA,1,1
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Kyanoviridae","Macariavirus","Macariavirus tuscon14g","Synechococcus phage ACG-2014g",3350,NA,NA,NA,NA,NA,NA,NA,1
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Kyanoviridae","Sedonavirus","Sedonavirus tusconh","Synechococcus phage ACG-2014h",3351,NA,NA,NA,NA,NA,NA,1,NA
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Kyanoviridae","Chalconvirus","Chalconvirus acg2014i","Synechococcus phage ACG-2014i",3352,NA,1,NA,NA,NA,NA,NA,NA
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Kyanoviridae","Potamoivirus","Potamoivirus tusconj","Synechococcus phage ACG-2014j",3353,NA,2,1,NA,1,1,1,1
NA,"Uroviricota","Caudoviricetes","Autographivirales","o_Autographivirales","Tiilvirus","Tiilvirus P60","Synechococcus phage P60",3354,NA,NA,NA,NA,NA,1,NA,NA
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Kyanoviridae","Neritesvirus","Neritesvirus scam8","Synechococcus phage S-CAM8",3355,NA,NA,NA,NA,NA,1,NA,NA
NA,"Uroviricota","Caudoviricetes","Autographivirales","o_Autographivirales","Lirvirus","Lirvirus SCBP3","Synechococcus phage S-CBP3",3356,NA,NA,NA,NA,NA,1,NA,NA
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Kyanoviridae","f_Kyanoviridae","Synechococcus phage S-CRM01","Synechococcus phage S-CRM01",3357,4,4,1,1,6,1,1,1
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Kyanoviridae","Nodensvirus","Nodensvirus spm2","Synechococcus phage S-PM2",3358,NA,NA,NA,NA,NA,1,1,NA
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Kyanoviridae","Neptunevirus","Neptunevirus srim18","Synechococcus phage S-RIM8",3359,NA,NA,NA,NA,NA,1,NA,NA
NA,"Uroviricota","Caudoviricetes","Autographivirales","o_Autographivirales","Sednavirus","Sednavirus SRIP2","Synechococcus phage S-RIP2",3360,NA,NA,NA,NA,NA,1,NA,NA
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Kyanoviridae","Gibbetvirus","Gibbetvirus rsm4","Synechococcus phage S-RSM4",3361,NA,NA,NA,NA,NA,1,NA,NA
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Kyanoviridae","Nilusvirus","Nilusvirus ssm2","Synechococcus phage S-SM2",3362,NA,NA,NA,NA,1,1,1,NA
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Kyanoviridae","Greenvirus","Greenvirus ssm4","Synechococcus phage S-SSM4",3363,NA,NA,NA,NA,1,2,NA,NA
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Kyanoviridae","Lipsvirus","Lipsvirus ssm7","Synechococcus phage S-SSM7",3364,NA,NA,NA,1,NA,NA,NA,NA
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Kyanoviridae","Pontusvirus","Pontusvirus syn19","Synechococcus phage Syn19",3365,NA,NA,NA,NA,NA,1,NA,NA
